year,feature,name,resid,resid_sq
2007,centroid,DRM T-mortality,-0.8964113536700313,0.803553314988538
2007,centroid,DRM T-movement,-0.690737970336698,0.47711894366486113
2007,centroid,DRM T-recruit,-0.8121257536700314,0.6595482397741165
2007,centroid,DRM null,0.6329295963299686,0.400599873910417
2007,cold_edge,DRM T-mortality,-0.8624832176801999,0.743877300779991
2007,cold_edge,DRM T-movement,0.5324492816674237,0.28350223754815546
2007,cold_edge,DRM T-recruit,-0.5515183309501983,0.3041724693740925
2007,cold_edge,DRM null,2.1751226105492885,4.731158370922752
2007,warm_edge,DRM T-mortality,-0.10681687323423014,0.011409844407537591
2007,warm_edge,DRM T-movement,-0.9233218737951114,0.8525232826285157
2007,warm_edge,DRM T-recruit,-0.4531486362990903,0.2053436865797252
2007,warm_edge,DRM null,-0.8369283378846433,0.7004490427543516
2008,centroid,DRM T-mortality,-1.0013587206469565,1.0027192874157096
2008,centroid,DRM T-movement,-0.6302422623136231,0.39720530920619374
2008,centroid,DRM T-recruit,-0.8294624539802898,0.6880079625630044
2008,centroid,DRM null,0.7494008960197102,0.5616017029551444
2008,cold_edge,DRM T-mortality,-0.43635119335413913,0.1904023639415813
2008,cold_edge,DRM T-movement,0.9577393917120857,0.9172647424370358
2008,cold_edge,DRM T-recruit,-0.06800662545554817,0.004624901105851212
2008,cold_edge,DRM null,2.738962521603344,7.5019156947477486
2008,warm_edge,DRM T-mortality,-0.0832083292580341,0.006923626057913415
2008,warm_edge,DRM T-movement,-0.5644304642636778,0.3185817489889109
2008,warm_edge,DRM T-recruit,-0.20649076148427756,0.0426384345783568
2008,warm_edge,DRM null,-0.5266527143656189,0.2773630815486742
2009,centroid,DRM T-mortality,-0.4765983136926099,0.2271459526146394
2009,centroid,DRM T-movement,0.4692627196407234,0.22020750004460818
2009,centroid,DRM T-recruit,-0.28465423035927656,0.08102803086143208
2009,centroid,DRM null,1.3628174696323887,1.8572714555352268
2009,cold_edge,DRM T-mortality,-0.40455328661969214,0.16366336171479479
2009,cold_edge,DRM T-movement,1.5502265671722888,2.403202409566779
2009,cold_edge,DRM T-recruit,-0.07780368984911888,0.006053414154137885
2009,cold_edge,DRM null,2.8352065716963577,8.038396304190213
2009,warm_edge,DRM T-mortality,0.008642807964444383,7.469812951026325e-5
2009,warm_edge,DRM T-movement,0.6374455135042959,0.4063367826867555
